ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SOU-AKL,SOU,AKL,O,40,West Bound,32,30,UK,New Zealand,4326.981641,2
SOU-SOU,SOU,SOU,B,99,West Bound,17,,UK,UK,14993.37874,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,38,,UK,USA - West Coast,2254.662133,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,36,,UK,USA - West Coast,1990.827468,2
SOU-SYD,SOU,SYD,B,44,West Bound,36,,UK,Australia - New South Wales,6122.556973,1
SOU-AKL,SOU,AKL,B,40,West Bound,37,,UK,New Zealand,3439.726191,2
SOU-AKL,SOU,AKL,S,40,West Bound,33,33,UK,New Zealand,13816.89337,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,30,30,UK,USA - West Coast,2079.96111,2
SOU-SOU,SOU,SOU,B,99,West Bound,94,,UK,UK,12901.45136,2
SOU-SYD,SOU,SYD,B,44,West Bound,25,24,UK,Australia - New South Wales,10736.7216,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,50,,UK,USA - West Coast,3597.130924,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,38,,UK,USA - West Coast,1434.880849,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,34,,UK,USA - West Coast,2120.53127,2
SFO-HKG,SFO,HKG,B,39,Australia/NZ,94,,USA - West Coast,China - Southern,5764.410131,2
SFO-SIN,SFO,SIN,B,45,Australia/NZ,94,92,USA - West Coast,Singapore,7755.749983,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,32,,UK,USA - West Coast,3975.15831,2
SOU-SOU,SOU,SOU,B,99,West Bound,64,,UK,UK,13804.08768,2
SOU-SOU,SOU,SOU,B,99,West Bound,91,,UK,UK,13771.87622,2
SOU-SOU,SOU,SOU,O,99,West Bound,90,49,UK,UK,12515.10937,2
SOU-SOU,SOU,SOU,I,99,West Bound,90,,UK,UK,15432.18249,1
SOU-SYD,SOU,SYD,B,44,West Bound,89,38,UK,Australia - New South Wales,6804.47825,2
SOU-SOU,SOU,SOU,B,99,West Bound,67,,UK,UK,17650.60661,2
SOU-SOU,SOU,SOU,B,99,West Bound,87,52,UK,UK,14774.12111,2
SOU-SOU,SOU,SOU,O,99,West Bound,87,,UK,UK,13767.6841,1
SOU-SYD,SOU,SYD,I,44,West Bound,36,,UK,Australia - New South Wales,4133.854319,2
SOU-SYD,SOU,SYD,I,44,West Bound,34,,UK,Australia - New South Wales,4349.258643,2
SOU-SOU,SOU,SOU,I,99,West Bound,32,32,UK,UK,17191.35907,1
SOU-SOU,SOU,SOU,S,99,West Bound,7,,UK,UK,25128.54248,2
SOU-SOU,SOU,SOU,B,99,West Bound,34,,UK,UK,17872.36591,2
SOU-SOU,SOU,SOU,B,99,West Bound,17,,UK,UK,26597.04543,1
SOU-SOU,SOU,SOU,B,99,West Bound,14,,UK,UK,17269.02364,2
SFO-AKL,SFO,AKL,B,16,South Pacific,15,14,USA - West Coast,New Zealand,3207.435011,2
SOU-SOU,SOU,SOU,B,99,West Bound,48,26,UK,UK,29319.56033,1
SOU-SOU,SOU,SOU,B,99,West Bound,45,,UK,UK,20637.38047,1
SOU-SYD,SOU,SYD,B,44,West Bound,50,27,UK,Australia - New South Wales,5894.030855,2
SOU-BNE,SOU,BNE,B,47,West Bound,87,,UK,Australia - Queensland,7519.480791,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,60,40,Australia - New South Wales,China - Southern,3357.519996,1
SOU-SYD,SOU,SYD,B,44,West Bound,39,38,UK,Australia - New South Wales,9675.874051,1
SOU-SYD,SOU,SYD,O,44,West Bound,36,,UK,Australia - New South Wales,3857.715375,2
SOU-SYD,SOU,SYD,B,44,West Bound,35,,UK,Australia - New South Wales,3565.601268,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,38,,UK,USA - West Coast,1966.409301,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,34,,UK,USA - West Coast,1933.693509,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,77,55,New Zealand,UK,11036.75333,2
SOU-SYD,SOU,SYD,I,44,West Bound,35,35,UK,Australia - New South Wales,8636.969969,1
SOU-SYD,SOU,SYD,B,44,West Bound,40,39,UK,Australia - New South Wales,12424.78459,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,31,,UK,USA - West Coast,2456.417701,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,45,,UK,USA - West Coast,3479.564271,2
AKL-SYD,AKL,SYD,B,4,New Zealand,10,,New Zealand,Australia - New South Wales,396.9655245,2
AKL-SYD,AKL,SYD,O,4,New Zealand,10,,New Zealand,Australia - New South Wales,227.8154765,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,14,,Australia - New South Wales,Australia - Queensland,,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,33,,Australia - New South Wales,Singapore,2741.330347,2
SFO-AKL,SFO,AKL,I,16,South Pacific,27,16,USA - West Coast,New Zealand,3042.260052,1
SFO-SIN,SFO,SIN,B,45,Australia/NZ,67,14,USA - West Coast,Singapore,8185.294038,2
SFO-SYD,SFO,SYD,B,20,South Pacific,72,,USA - West Coast,Australia - New South Wales,2524.236195,2
SOU-SOU,SOU,SOU,B,99,West Bound,91,46,UK,UK,14334.7904,2
SOU-SOU,SOU,SOU,S,99,West Bound,76,,UK,UK,20097.427,2
SFO-SYD,SFO,SYD,B,20,South Pacific,96,,USA - West Coast,Australia - New South Wales,2296.223199,2
SFO-SYD,SFO,SYD,B,20,South Pacific,87,,USA - West Coast,Australia - New South Wales,3239.150976,2
SFO-SYD,SFO,SYD,B,20,South Pacific,84,,USA - West Coast,Australia - New South Wales,2303.424425,2
SFO-SYD,SFO,SYD,B,20,South Pacific,15,,USA - West Coast,Australia - New South Wales,4101.511832,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,15,,Australia - Queensland,China - Southern,1460.301261,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,10,,Australia - Queensland,China - Southern,1020.173525,2
SOU-AKL,SOU,AKL,B,40,West Bound,93,91,UK,New Zealand,3863.728985,2
AKL-SYD,AKL,SYD,B,4,New Zealand,23,,New Zealand,Australia - New South Wales,595.7095979,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,47,,Australia - New South Wales,China - Southern,3668.25949,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,28,,Australia - New South Wales,China - Southern,1747.971941,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,8,,Australia - New South Wales,Singapore,1860.899523,2
SOU-AKL,SOU,AKL,B,40,West Bound,84,,UK,New Zealand,5301.119629,2
SOU-AKL,SOU,AKL,I,40,West Bound,29,28,UK,New Zealand,6408.814443,1
AKL-SYD,AKL,SYD,I,4,New Zealand,18,17,New Zealand,Australia - New South Wales,474.6140854,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,24,22,Australia - New South Wales,Australia - Queensland,726.5180787,1
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,11,,Australia - New South Wales,Australia - Queensland,368.8012447,2
SOU-SOU,SOU,SOU,B,99,West Bound,50,,UK,UK,16695.21854,2
SOU-SOU,SOU,SOU,B,99,West Bound,38,,UK,UK,16586.01662,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,34,33,Australia - New South Wales,Singapore,4579.498863,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,45,44,Australia - New South Wales,UK,7462.825458,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,27,26,Australia - New South Wales,UK,9716.922928,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,59,,UK,USA - West Coast,3907.592832,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,34,,UK,USA - West Coast,3339.846324,2
AKL-SYD,AKL,SYD,I,4,New Zealand,14,,New Zealand,Australia - New South Wales,,2
AKL-SYD,AKL,SYD,I,4,New Zealand,26,25,New Zealand,Australia - New South Wales,778.028477,1
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,56,21,Australia - New South Wales,China - Southern,1854.840356,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,15,,Australia - New South Wales,China - Southern,1066.164716,2
SOU-SOU,SOU,SOU,B,99,West Bound,30,,UK,UK,22540.45025,1
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,27,,Australia - Queensland,China - Southern,1364.795776,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,71,,China - Southern,UAE,2706.61174,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,70,70,China - Southern,UK,6401.489222,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,55,,China - Southern,UK,6258.358408,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,33,,UK,USA - West Coast,2215.601115,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,22,21,Australia - New South Wales,China - Southern,2599.819053,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,13,,Australia - New South Wales,China - Southern,1616.781565,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,45,,China - Southern,UAE,2229.942902,2
HKG-SOU,HKG,SOU,O,36,Southeast Asia,51,,China - Southern,UK,5345.139589,1
SOU-SFO,SOU,SFO,O,24,Panama Canal,49,11,UK,USA - West Coast,2972.672454,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,36,,Australia - New South Wales,China - Southern,2572.25648,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,39,,Australia - New South Wales,UK,5140.604252,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,38,,UK,USA - West Coast,2339.772506,1
SOU-SYD,SOU,SYD,I,44,West Bound,30,,UK,Australia - New South Wales,4179.749452,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,102,,China - Southern,UK,5785.090289,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,59,,China - Southern,UK,6638.2417,2
SOU-SOU,SOU,SOU,B,99,West Bound,63,30,UK,UK,21761.78083,1
SOU-BNE,SOU,BNE,B,47,West Bound,41,,UK,Australia - Queensland,8400.298814,2
SOU-BNE,SOU,BNE,I,47,West Bound,26,,UK,Australia - Queensland,5552.656211,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,59,,UK,USA - West Coast,4518.833903,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,59,,UK,USA - West Coast,3200.849648,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,37,36,Australia - New South Wales,UK,7465.767311,3
BNE-HKG,BNE,HKG,S,16,GB Reef/Queensland,20,19,Australia - Queensland,China - Southern,2845.272186,2
SFO-SYD,SFO,SYD,B,20,South Pacific,58,,USA - West Coast,Australia - New South Wales,3849.980583,2
SFO-SYD,SFO,SYD,B,20,South Pacific,54,,USA - West Coast,Australia - New South Wales,3130.873107,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,42,,Singapore,UK,4922.923553,2
DXB-SOU,DXB,SOU,O,19,Middle East,40,,UAE,UK,2094.541794,1
DXB-SOU,DXB,SOU,B,19,Middle East,39,,UAE,UK,2503.4441,2
SOU-SOU,SOU,SOU,O,99,West Bound,19,,UK,UK,13413.58272,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,49,,Australia - New South Wales,UK,5470.178209,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,10,9,Australia - Queensland,China - Southern,1495.115153,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,16,15,Australia - Queensland,China - Southern,2233.418519,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,8,7,Australia - Queensland,China - Southern,1289.61644,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,27,,UK,USA - West Coast,2691.073098,2
SFO-SYD,SFO,SYD,B,20,South Pacific,47,,USA - West Coast,Australia - New South Wales,3766.840373,2
SFO-SYD,SFO,SYD,B,20,South Pacific,51,,USA - West Coast,Australia - New South Wales,2822.213394,2
AKL-SOU,AKL,SOU,I,59,Southeast Asia,13,,New Zealand,UK,,1
DXB-SOU,DXB,SOU,B,19,Middle East,65,65,UAE,UK,2925.879643,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,7,,UK,USA - West Coast,3166.9968,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,73,,China - Southern,UAE,2379.319349,2
SOU-SOU,SOU,SOU,S,99,West Bound,64,,UK,UK,22423.64419,2
DXB-SOU,DXB,SOU,O,19,Middle East,11,10,UAE,UK,2991.660423,2
DXB-SOU,DXB,SOU,O,19,Middle East,11,,UAE,UK,2233.738884,2
DXB-SOU,DXB,SOU,B,19,Middle East,37,,UAE,UK,3104.948,2
SOU-SOU,SOU,SOU,B,99,West Bound,28,28,UK,UK,15730.82818,2
SOU-SYD,SOU,SYD,B,44,West Bound,50,49,UK,Australia - New South Wales,9298.620617,1
HKG-DXB,HKG,DXB,B,17,Southeast Asia,41,,China - Southern,UAE,2874.491354,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,29,17,UK,USA - West Coast,3958.565636,2
HKG-DXB,HKG,DXB,O,17,Southeast Asia,56,,China - Southern,UAE,2483.668566,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,22,,Australia - New South Wales,China - Southern,1725.315481,2
SOU-SYD,SOU,SYD,I,44,West Bound,31,,UK,Australia - New South Wales,4306.861147,1
SOU-AKL,SOU,AKL,B,40,West Bound,43,,UK,New Zealand,6381.525036,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,57,,China - Southern,UAE,2696.470965,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,56,,China - Southern,UAE,2992.574505,2
HKG-SOU,HKG,SOU,O,36,Southeast Asia,77,57,China - Southern,UK,3702.3614,2
SOU-SOU,SOU,SOU,B,99,West Bound,64,,UK,UK,12237.34091,2
SOU-SOU,SOU,SOU,B,99,West Bound,63,,UK,UK,14606.45645,2
SIN-DXB,SIN,DXB,O,11,Southern Asia,63,,Singapore,UAE,1693.115356,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,101,,Singapore,UK,4112.501872,2
SOU-SOU,SOU,SOU,B,99,West Bound,51,51,UK,UK,17031.43506,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,54,,Australia - New South Wales,China - Southern,3144.632374,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,52,51,Australia - New South Wales,China - Southern,2882.706163,2
SFO-AKL,SFO,AKL,B,16,South Pacific,69,,USA - West Coast,New Zealand,3014.187947,2
SOU-SOU,SOU,SOU,I,99,West Bound,61,41,UK,UK,18292.73403,1
SIN-SOU,SIN,SOU,B,30,Southern Asia,52,,Singapore,UK,5573.533805,2
SOU-SOU,SOU,SOU,B,99,West Bound,34,,UK,UK,16599.11693,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,53,,Australia - New South Wales,Singapore,4035.404606,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,30,29,Australia - New South Wales,Singapore,2336.815243,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,49,,UK,USA - West Coast,2493.339232,2
SIN-DXB,SIN,DXB,O,11,Southern Asia,34,34,Singapore,UAE,1523.958028,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,87,,Singapore,UK,5524.392715,2
SOU-SOU,SOU,SOU,B,99,West Bound,50,,UK,UK,13730.68874,2
SOU-SOU,SOU,SOU,O,99,West Bound,46,,UK,UK,11284.95122,2
SOU-SOU,SOU,SOU,O,99,West Bound,44,,UK,UK,22820.32533,1
SOU-SYD,SOU,SYD,B,44,West Bound,92,91,UK,Australia - New South Wales,15742.38593,1
SYD-SOU,SYD,SOU,O,55,Southeast Asia,58,23,Australia - New South Wales,UK,7508.917135,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,43,,Australia - New South Wales,UK,5721.31838,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,26,25,Australia - New South Wales,UK,9323.866913,1
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,22,,Australia - Queensland,China - Southern,1259.406395,2
SOU-SYD,SOU,SYD,O,44,West Bound,35,,UK,Australia - New South Wales,4089.630366,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,27,,Australia - Queensland,China - Southern,1775.39887,2
AKL-SOU,AKL,SOU,B,59,Southeast Asia,52,51,New Zealand,UK,11984.30126,1
SOU-SOU,SOU,SOU,B,99,West Bound,38,16,UK,UK,32035.28678,1
SOU-SOU,SOU,SOU,B,99,West Bound,32,,UK,UK,16513.94759,2
DXB-SOU,DXB,SOU,B,19,Middle East,44,42,UAE,UK,3240.704939,2
DXB-SOU,DXB,SOU,B,19,Middle East,24,,UAE,UK,1359.404852,2
SOU-SYD,SOU,SYD,I,44,West Bound,36,,UK,Australia - New South Wales,4535.540614,2
SOU-BNE,SOU,BNE,B,47,West Bound,43,,UK,Australia - Queensland,6942.472537,2
SOU-SYD,SOU,SYD,B,44,West Bound,13,,UK,Australia - New South Wales,8587.577334,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,56,,China - Southern,UAE,2588.177609,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,37,34,Australia - New South Wales,China - Southern,2654.189459,2
SOU-SOU,SOU,SOU,B,99,West Bound,49,,UK,UK,12924.8022,2
DXB-SOU,DXB,SOU,B,19,Middle East,22,,UAE,UK,2137.016076,2
DXB-SOU,DXB,SOU,O,19,Middle East,11,,UAE,UK,1233.17138,2
DXB-SOU,DXB,SOU,B,19,Middle East,39,,UAE,UK,1863.310382,2
DXB-SOU,DXB,SOU,B,19,Middle East,39,,UAE,UK,1757.350735,2
SOU-SYD,SOU,SYD,B,44,West Bound,41,,UK,Australia - New South Wales,7298.649569,2
SOU-SYD,SOU,SYD,I,44,West Bound,27,,UK,Australia - New South Wales,4818.503564,2
SFO-AKL,SFO,AKL,B,16,South Pacific,101,101,USA - West Coast,New Zealand,2909.228332,2
SFO-SYD,SFO,SYD,B,20,South Pacific,97,94,USA - West Coast,Australia - New South Wales,2465.557944,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,21,,Australia - New South Wales,China - Southern,1977.423202,2
SOU-SOU,SOU,SOU,O,99,West Bound,27,,UK,UK,10712.09326,2
SFO-SYD,SFO,SYD,B,20,South Pacific,56,,USA - West Coast,Australia - New South Wales,3268.056723,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,44,,UK,USA - West Coast,2881.304686,3
SFO-SYD,SFO,SYD,B,20,South Pacific,52,,USA - West Coast,Australia - New South Wales,2668.80069,2
SFO-SYD,SFO,SYD,B,20,South Pacific,52,,USA - West Coast,Australia - New South Wales,3718.475619,2
SIN-DXB,SIN,DXB,B,11,Southern Asia,37,,Singapore,UAE,1426.270344,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,56,,Australia - New South Wales,UK,7777.426322,2
SOU-SYD,SOU,SYD,B,44,West Bound,36,,UK,Australia - New South Wales,4065.674223,2
SFO-SYD,SFO,SYD,B,20,South Pacific,62,,USA - West Coast,Australia - New South Wales,2818.825795,2
SFO-SYD,SFO,SYD,I,20,South Pacific,41,,USA - West Coast,Australia - New South Wales,3214.884496,2
SFO-SYD,SFO,SYD,I,20,South Pacific,40,,USA - West Coast,Australia - New South Wales,3096.968318,2
SFO-SYD,SFO,SYD,O,20,South Pacific,43,,USA - West Coast,Australia - New South Wales,3289.291395,2
SFO-SYD,SFO,SYD,O,20,South Pacific,9,8,USA - West Coast,Australia - New South Wales,5922.296687,1
SOU-SOU,SOU,SOU,S,99,West Bound,91,,UK,UK,17713.28496,2
SOU-SOU,SOU,SOU,B,99,West Bound,66,,UK,UK,14692.00967,2
DXB-SOU,DXB,SOU,B,19,Middle East,74,,UAE,UK,2366.501662,2
DXB-SOU,DXB,SOU,B,19,Middle East,60,,UAE,UK,2584.982482,2
SOU-AKL,SOU,AKL,I,40,West Bound,41,40,UK,New Zealand,5300.047882,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,5,,Australia - New South Wales,UK,4333.993744,2
SYD-SOU,SYD,SOU,S,55,Southeast Asia,55,,Australia - New South Wales,UK,15159.38346,2
SOU-SYD,SOU,SYD,O,44,West Bound,34,13,UK,Australia - New South Wales,4832.341239,1
AKL-SOU,AKL,SOU,B,59,Southeast Asia,69,21,New Zealand,UK,9986.915275,2
SOU-SOU,SOU,SOU,I,99,West Bound,63,61,UK,UK,10140.64567,2
SOU-SOU,SOU,SOU,I,99,West Bound,81,,UK,UK,12023.83891,2
SOU-SOU,SOU,SOU,B,99,West Bound,81,20,UK,UK,10562.90844,2
AKL-SYD,AKL,SYD,B,4,New Zealand,18,17,New Zealand,Australia - New South Wales,545.8909518,3
DXB-SOU,DXB,SOU,I,19,Middle East,24,,UAE,UK,2127.412209,1
DXB-SOU,DXB,SOU,B,19,Middle East,17,,UAE,UK,4975.925912,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,64,,UK,USA - West Coast,3422.748548,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,60,,UK,USA - West Coast,4123.073654,2
BNE-SOU,BNE,SOU,O,52,Southeast Asia,92,,Australia - Queensland,UK,5327.159207,2
SFO-HKG,SFO,HKG,B,39,Australia/NZ,66,,USA - West Coast,China - Southern,5936.57031,2
SFO-SYD,SFO,SYD,O,20,South Pacific,94,,USA - West Coast,Australia - New South Wales,2198.651769,2
SFO-SYD,SFO,SYD,B,20,South Pacific,54,,USA - West Coast,Australia - New South Wales,3818.866536,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,104,104,Australia - New South Wales,Australia - Queensland,767.3533553,1
SOU-SOU,SOU,SOU,B,99,West Bound,50,,UK,UK,16518.00001,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,35,,UK,USA - West Coast,2115.443168,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,34,,UK,USA - West Coast,2092.774225,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,12,,UK,USA - West Coast,3392.385343,1
HKG-DXB,HKG,DXB,B,17,Southeast Asia,100,,China - Southern,UAE,2762.561936,2
SFO-SYD,SFO,SYD,I,20,South Pacific,35,,USA - West Coast,Australia - New South Wales,3308.403297,2
SOU-SOU,SOU,SOU,B,99,West Bound,48,,UK,UK,16881.89023,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,29,,Australia - New South Wales,China - Southern,1959.539519,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,54,,Australia - New South Wales,Singapore,3606.297857,2
SYD-SIN,SYD,SIN,I,25,Southeast Asia,57,,Australia - New South Wales,Singapore,2838.023999,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,19,,Australia - New South Wales,Singapore,2516.49219,2
SOU-SOU,SOU,SOU,B,99,West Bound,62,,UK,UK,10829.93955,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,55,16,China - Southern,UK,5777.920537,2
SIN-DXB,SIN,DXB,B,11,Southern Asia,60,,Singapore,UAE,1544.414842,2
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,19,,Australia - New South Wales,Australia - Queensland,542.3043842,1
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,11,,Australia - New South Wales,Australia - Queensland,465.5946733,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,4,,Australia - New South Wales,Australia - Queensland,474.6741897,2
SOU-SOU,SOU,SOU,B,99,West Bound,35,,UK,UK,27166.42197,1
SIN-DXB,SIN,DXB,B,11,Southern Asia,56,13,Singapore,UAE,1760.936084,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,69,38,Singapore,UK,5202.636337,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,27,25,Australia - New South Wales,Australia - Queensland,452.4541233,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,15,14,Australia - New South Wales,China - Southern,2245.051946,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,21,,Australia - New South Wales,UK,5504.549631,2
SYD-SOU,SYD,SOU,S,55,Southeast Asia,27,26,Australia - New South Wales,UK,15408.31252,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,26,25,Australia - Queensland,China - Southern,3067.519365,1
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,15,14,Australia - Queensland,China - Southern,1555.15602,2
SOU-SOU,SOU,SOU,I,99,West Bound,18,,UK,UK,7454.380887,2
DXB-SOU,DXB,SOU,O,19,Middle East,109,109,UAE,UK,2647.913898,2
DXB-SOU,DXB,SOU,B,19,Middle East,73,9,UAE,UK,2923.955573,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,55,,Australia - New South Wales,China - Southern,5021.547324,1
HKG-DXB,HKG,DXB,B,17,Southeast Asia,100,,China - Southern,UAE,2845.095319,2
SFO-SYD,SFO,SYD,O,20,South Pacific,94,,USA - West Coast,Australia - New South Wales,2301.10614,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,7,7,Australia - Queensland,China - Southern,2261.277614,1
BNE-SOU,BNE,SOU,B,52,Southeast Asia,52,52,Australia - Queensland,UK,9283.512561,2
SOU-SYD,SOU,SYD,B,44,West Bound,52,51,UK,Australia - New South Wales,6000.62774,2
SOU-SYD,SOU,SYD,B,44,West Bound,35,34,UK,Australia - New South Wales,7912.531689,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,39,,Australia - New South Wales,UK,16074.53117,1
HKG-DXB,HKG,DXB,B,17,Southeast Asia,57,,China - Southern,UAE,3176.481142,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,78,,China - Southern,UK,6416.819974,2
SFO-SYD,SFO,SYD,B,20,South Pacific,43,,USA - West Coast,Australia - New South Wales,3899.688765,2
SFO-SYD,SFO,SYD,O,20,South Pacific,50,,USA - West Coast,Australia - New South Wales,2583.593867,2
SFO-SYD,SFO,SYD,O,20,South Pacific,47,,USA - West Coast,Australia - New South Wales,2972.149533,2
HKG-DXB,HKG,DXB,I,17,Southeast Asia,68,14,China - Southern,UAE,2006.137441,2
SFO-AKL,SFO,AKL,B,16,South Pacific,97,94,USA - West Coast,New Zealand,4983.34816,1
SYD-SOU,SYD,SOU,O,55,Southeast Asia,27,,Australia - New South Wales,UK,6209.117184,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,16,,Australia - Queensland,China - Southern,1136.877046,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,15,14,Australia - Queensland,China - Southern,1919.333923,2
SOU-BNE,SOU,BNE,O,47,West Bound,28,27,UK,Australia - Queensland,5823.479164,2
HKG-DXB,HKG,DXB,I,17,Southeast Asia,47,,China - Southern,UAE,1773.803213,2
HKG-DXB,HKG,DXB,O,17,Southeast Asia,56,33,China - Southern,UAE,2252.65808,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,27,,Singapore,UK,3835.998309,2
SIN-SOU,SIN,SOU,I,30,Southern Asia,16,,Singapore,UK,1914.880075,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,33,,Singapore,UK,4635.71516,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,14,12,Australia - New South Wales,Australia - Queensland,286.6627729,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,49,,UK,USA - West Coast,3346.206512,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,34,,UK,USA - West Coast,1894.145059,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,33,,UK,USA - West Coast,2818.426938,2
SOU-AKL,SOU,AKL,B,40,West Bound,40,,UK,New Zealand,5880.645237,2
