ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SOU-SYD,SOU,SYD,O,44,West Bound,52,,UK,Australia - New South Wales,9917.2624,1
HKG-SOU,HKG,SOU,I,36,Southeast Asia,97,,China - Southern,UK,4014.72371,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,14,,Australia - New South Wales,China - Southern,1338.038328,2
SOU-AKL,SOU,AKL,O,40,West Bound,34,,UK,New Zealand,3949.257581,2
SOU-AKL,SOU,AKL,B,40,West Bound,43,42,UK,New Zealand,6710.792488,2
SOU-SYD,SOU,SYD,B,44,West Bound,7,,UK,Australia - New South Wales,6880.685277,2
SOU-SYD,SOU,SYD,B,44,West Bound,42,,UK,Australia - New South Wales,4591.681256,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,44,,China - Southern,UAE,2691.714377,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,80,,Singapore,UK,2956.1293,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,77,,Singapore,UK,4898.701473,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,21,,Singapore,UK,3919.697455,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,43,,UK,USA - West Coast,3919.2542,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,27,,UK,USA - West Coast,2847.828,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,4,Australia - New South Wales,China - Southern,,1
SYD-SIN,SYD,SIN,B,25,Southeast Asia,24,,Australia - New South Wales,Singapore,4941.143716,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,38,37,Australia - New South Wales,Singapore,5582.710625,1
SOU-AKL,SOU,AKL,B,40,West Bound,30,30,UK,New Zealand,6031.827749,2
SOU-SYD,SOU,SYD,O,44,West Bound,29,,UK,Australia - New South Wales,11286.96024,1
SIN-SOU,SIN,SOU,B,30,Southern Asia,100,99,Singapore,UK,3665.797727,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,56,,Singapore,UK,4034.780313,2
SIN-SOU,SIN,SOU,O,30,Southern Asia,38,15,Singapore,UK,6464.292054,1
DXB-SOU,DXB,SOU,B,19,Middle East,101,100,UAE,UK,2750.331278,2
