"","id","Hours","Day","Pride","Love","Hope","Gratitude","Joy","Satisfaction","Awe","Amusement","Alertness","Anxiety","Disdain","Offense","Guilt","Disgust","Fear","Embarrassment","Sadness","Anger"
"116",110,15,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
"117",110,18,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"118",110,21,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"119",119,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",119,13,6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
"121",119,15,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",119,18,6,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"123",119,20,4,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"124",119,21,6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"125",125,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"126",125,12,5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1
"127",127,10,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"128",127,21,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"129",129,11,7,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"130",129,16,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"131",131,10,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",131,12,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",131,20,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"134",131,22,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"135",135,10,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"136",135,10,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"137",135,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",135,11,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"139",135,14,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"140",135,14,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"141",135,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",135,15,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",135,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",135,17,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"145",135,17,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"146",135,18,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"147",135,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",135,18,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
"149",135,18,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",135,19,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
"151",135,22,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
"152",135,23,5,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"153",135,23,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"154",154,15,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
